	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
LRRC37B	9.29386954389252	8.59296625814581	9.6529436178486	9.43704545653361	10.1225487540736	9.46418081269224	8.93109094050753	9.6807441330861	9.83764256336476	7.0747400424731	10.5968704526497
PRMT3	10.2151952297646	9.42695630670688	10.1703428347571	10.0212575306886	11.1476587227378	10.2269095029235	10.360100942959	10.7878282609582	9.49032915005749	9.8953307916874	10.8372188082111
DTX2P1	8.25299726247699	7.61372481831261	9.24104582610033	8.45716081783068	9.17233912078516	7.7990479632871	8.2172784216485	8.29844342021925	9.10067696919856	8.42432448026333	10.9080401454008
BCAM	12.3675174682261	12.1009906451466	12.2561254934631	12.6537194420285	11.8122747095838	12.1298794975559	13.4443415230733	11.7398270156408	12.818220563318	12.3720261427064	13.1186604568516
CHM	11.5632705158072	11.7995913636239	11.7152278961029	11.8369523717089	11.8299184248139	12.0236469030872	11.8614216863502	11.8107027272108	11.5427203477859	11.3226675559167	11.3610174462538
CACNA1H	9.84897275592056	8.71326049186352	9.02491239523556	10.3548480596092	8.70383559665139	10.5215139877582	10.1754054686116	7.9979343089668	10.6781643493576	10.1148971689451	10.4947293908414
MCMBP	12.0400742023339	12.2409981238917	12.0803043955776	12.2603878542656	12.2302110710985	12.5272276389526	12.3081150032048	12.187134639796	11.5833051630161	11.8837560989006	11.4033063630778
KLHDC1	9.80440720348712	10.3109902886586	10.1790997359425	10.0656061571014	10.5069782674221	9.92085280067905	9.44376650234568	9.93983135440323	9.24932105055369	9.50424802456028	9.80603410302554
ZNF81	10.4646897951562	10.2326346509571	10.1347738210535	10.5041084993423	11.0374929841209	10.5985300415734	10.3708955690089	10.0537875437003	10.264375396276	10.4912311388934	11.1017646809625
RPL23A	13.6194199744443	13.8458373345335	14.3040734941341	14.0893395333431	14.3607054986188	14.1463424041511	14.4354671176811	14.0282239169945	13.4704518233262	13.7292605861068	13.3562764132626
SLC29A3	8.43941038670787	8.71326049186352	8.27819882451779	8.63250116275808	8.29857911816513	8.61618390613729	10.1379793739731	10.3379717844059	8.46448914512223	8.09782365558614	8.83903237858299
UNC13B	12.5823683405499	12.4660090832707	11.9923667132436	12.6332380462546	12.246472687899	12.664589775148	11.8598899595538	11.9289205801928	12.7050793507434	12.6606717706683	12.376709302507
